menu,page,article_number,date,writer,title
37,1,7364,2026.05.10.,아파치군,[Day 2] 아파치군 우동균 / 많은 사람이 열광할 때가 가장 위험하다
37,1,7360,2026.05.10.,깨어있군,[Day 3] 깨어있군 / 변화 (병렬독서 데미안)
37,1,7351,2026.05.09.,아파치군,[Day 1] / 아파치군 우동균 / 부자의 말센스 서문
37,1,7349,2026.05.09.,이동형,[Day 3] 이동형 / 부자들의 심리학 1주차-3 / 바닥으로 향하는 손실회피의 본능
37,1,7348,2026.05.09.,깨어있군,/[Day 2] 깨어있군 / 합리적인 판단이란? (대표성 휴리스틱)나는
37,1,7340,2026.05.09.,리치비,"(DAY2)알고보니 이 책이 돈을 벌게 해주었군.(전망이론, 손실회피)"
37,1,7335,2026.05.08.,야무진,[DAY3]매일하는 독서에도 우연은 있기마련
37,1,7334,2026.05.08.,jensnet,"[Day 1] 부자들의 생각법 / 워렌머핏, 이걸 안했기에 성공할수 있었다."
37,2,7333,2026.05.08.,파워EN,[5월 Day 1] 영어 사자성어 (과유불급)/ 독원결의 박경준
37,2,7331,2026.05.08.,이동형,[Day 2] 이동형 / 부자들의 심리학 1주차-2 / 다음 번에 동전의 앞면이 나올 확률은?
37,2,7328,2026.05.08.,독도군 한지연,[Day 3]독도군 한지연 / 원띵
37,2,7326,2026.05.08.,독하군 최영웅,[Day 3]인생의 성공을 위한 삭제(Delete)
37,2,7320,2026.05.07.,야무진,[DAY2] 인생이 꿀잼인 이유
37,2,7318,2026.05.07.,독도군 한지연,[Day 2] 독도군 한지연 / 자존-여덟단어
37,2,7311,2026.05.06.,유꾸나줌,[Day 2] 유꾸나줌 박선애 / 나도 비둘기인가?
37,2,7309,2026.05.06.,야무진,[DAY1] 집단속에 살며 생각하기.
37,2,7304,2026.05.06.,독도군 한지연,[Day 1] 독도군 한지연 / 별을 볼려면…
37,2,7301,2026.05.06.,독하군 최영웅,[Day 2] 거봐! 내가 그럴 줄 알았다니깐! (인지 부조화)
37,2,7295,2026.05.05.,유꾸나줌,[Day 1]유꾸나줌 박선애 / 부자들의 생각법을 들여다보다
37,2,7293,2026.05.05.,독하군 최영웅,[Day 1] 나는 아닐 것이라는 인간의 착각 / 독하군 최영웅
37,2,7291,2026.05.05.,깨어있군,[Day 1] 깨어있군 / '고백'
37,2,7288,2026.05.04.,리치비,[DAY1] 알고 보니 이 책이 돈을 벌게 해주었군. (모든 것은 상대적이다.)
37,2,7286,2026.05.04.,이동형,[Day 1] 이동형 / 부자들의 심리학 1주차-1 / 투자를 앞둔 개인의 심리
38,1,7361,2026.05.10.,명확하군,[공유] [독하군 Day3] 무언가 준다는 것.
38,1,7359,2026.05.10.,달달하군 김민수,[5월 2조] 달달하군 / DAY3 / 경험의 멸종
38,1,7358,2026.05.10.,달달하군 김민수,[5월 2조] 달달하군 / DAY2 / 첫 만남
38,1,7356,2026.05.09.,뚝샘,[Day 2] 뚝샘 전혜진/나를 일으켜 세워주는 사람들
38,1,7354,2026.05.09.,건강하군,[Day 3] 건강하군 / 원대한 목표의 힘
38,1,7353,2026.05.09.,건강하군,[Day 2] 건강하군 / 비옥한 토양 : 독하군 독서모임
38,1,7350,2026.05.09.,톡톡하군 김성호,"[Day-3]매직큐 김성호(톡톡하군) / 말이라는 씨앗, 신뢰라는 땅"
38,1,7344,2026.05.09.,의리하군 정승일,[DAY 4] 의리하군 정승일 / 계좌를 자주 확인하지 마라
38,1,7343,2026.05.09.,책내음 양자강,[Day2] 책내음(양자강) 나는 내 인생을 어떤 태도로 마주하고 있을까?
38,1,7342,2026.05.09.,명확하군,[공유] [5월 Day2] 긍정적인 영향
38,1,7341,2026.05.09.,딸셋소령,부자들의 생각법이 가르쳐준 어버이날
38,2,7339,2026.05.09.,뚝샘,[Day 1] 길을 잃은 날
38,2,7338,2026.05.08.,딸셋소령,"""미다스의 손 앞에서 멈춘 이유"""
38,2,7327,2026.05.08.,달달하군 김민수,[5월 2조] 달달하군 / DAY1 / 집단행동
38,2,7321,2026.05.07.,톡톡하군 김성호,[Day-2]매직큐 김성호(톡톡하군) / 아빠 언제와?
38,2,7319,2026.05.07.,명확하군,[공유] [5월 Day1] 그게 돈이 됩니까?
38,2,7314,2026.05.06.,유니크하군,[공유] [5월 DAY 3] 유니크하군 / 모르는게 잘못은 아니다.
38,2,7313,2026.05.06.,영화보는 떡볶이,5월[Day-3] 보상의 법칙
38,2,7312,2026.05.06.,JNP,[Day 3] JNP 서정원 / 도서 리뷰 - 피터 린치의 투자 이야기
38,2,7310,2026.05.06.,책내음 양자강,[Day1] 책내음(양자강) / 하버드생도 우리와 같은 사람이였다.
38,2,7306,2026.05.06.,톡톡하군 김성호,[Day-1]매직큐 김성호(톡톡하군) / 가슴에 남은 폐달의 온도
38,2,7303,2026.05.06.,JNP,[Day 2] JNP 서정원 / 도서리뷰 - 홍학의 자리
38,2,7298,2026.05.05.,유니크하군,[공유] (5월 DAY 2) 유니크하군 / PREP기법
